nl,nl type,chart,table name,database,label,column,filter,aggregate,mark,encoding,sort
What does the composition of faculty members look like based on their roles?,abstract,Pie,Faculty,activity_1,mark arc data faculty encoding x rank y aggregate count rank transform group x,Rank,none,count Rank,arc,"x=Rank,y=count Rank,color=none",none
Can you give me a chart for the assistant professors based on their gender?,abstract,Bar,Faculty,activity_1,"mark bar data faculty encoding x sex y aggregate count sex transform filter rank = ""asstprof"" group x ",Sex,"Rank = ""AsstProf""",count Sex,bar,"x=Sex,y=count Sex,color=none",none
I need a chart that gives an overview of the gender and rank composition of the faculty.,abstract,Stacked Bar,Faculty,activity_1,mark bar data faculty encoding x rank y aggregate count rank color sex transform group x,"Rank,Sex",none,count Rank,bar,"x=Rank,y=count Rank,color=Sex",none
What's the variety of aircraft descriptions?,abstract,Pie,aircraft,aircraft,mark arc data aircraft encoding x description y aggregate count description transform group x,Description,none,count Description,arc,"x=Description,y=count Description,color=none",none
What are the descriptions of the aircraft and how many of each type are there?,abstract,Bar,aircraft,aircraft,mark bar data aircraft encoding x description y aggregate count description transform group x sort x asc,Description,none,count Description,bar,"x=Description,y=count Description,color=none",x asc
Show me how many female students are not majoring in 600 and are older than 18 based on their first names.,abstract,Bar,Student,restaurant_1,mark bar data student encoding x fname y aggregate count fname transform filter age > 18 and major != 600 and sex = 'f' group x ,Fname,Age gt 18 and Major != 600 and Sex = 'F',count Fname,bar,"x=Fname,y=count Fname,color=none",none
What's the distribution of female students based on last name?,abstract,Bar,Student,allergy_1,mark bar data student encoding x lname y aggregate count lname transform filter sex = 'f' group x,LName,Sex = 'F',count LName,bar,"x=LName,y=count LName,color=none",none
Show me the distribution of first names of female students who are older than 18 and not majoring in 600.,abstract,Pie,Student,restaurant_1,mark arc data student encoding x fname y aggregate count fname transform filter age > 18 and major != 600 and sex = 'f' group x,Fname,Age gt 18 and Major != 600 and Sex = 'F',count Fname,arc,"x=Fname,y=count Fname,color=none",none
"Give me a picture of how many allergies are in each category, with the most popular types at the top. ",abstract,Bar,Allergy_type,allergy_1,mark bar data allergy_type encoding x allergytype y aggregate count allergytype transform group x sort y desc,AllergyType,none,count AllergyType,bar,"x=AllergyType,y=count AllergyType,color=none",y desc
Chart the types of allergies and how many there are.,abstract,Bar,Allergy_type,allergy_1,mark bar data allergy_type encoding x allergytype y aggregate count allergytype transform group x,AllergyType,none,count AllergyType,bar,"x=AllergyType,y=count AllergyType,color=none",none
Give me an idea of how different types of allergies are distributed.,abstract,Pie,Allergy_type,allergy_1,mark arc data allergy_type encoding x allergytype y aggregate count allergytype transform group x,AllergyType,none,count AllergyType,arc,"x=AllergyType,y=count AllergyType,color=none",none
Group apartments by type,abstract,Pie,Apartments,apartment_rentals,mark arc data apartments encoding x apt_type_code y aggregate count apt_type_code transform group x ,apt_type_code,none,count apt_type_code,arc,"x=apt_type_code,y=count apt_type_code,color=none",none
How are apartments grouped?,abstract,Pie,Apartments,apartment_rentals,mark arc data apartments encoding x apt_type_code y aggregate count apt_type_code transform group x ,apt_type_code,none,count apt_type_code,arc,"x=apt_type_code,y=count apt_type_code,color=none",none
Chart the number of bookings by status.,abstract,Bar,Apartment_Bookings,apartment_rentals,mark bar data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x ,booking_status_code,none,count booking_status_code,bar,"x=booking_status_code,y=count booking_status_code,color=none",none
"How about a bar chart of the booking status codes, ordered by the number of bookings",abstract,Bar,Apartment_Bookings,apartment_rentals,mark bar data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x sort y desc,booking_status_code,none,count booking_status_code,bar,"x=booking_status_code,y=count booking_status_code,color=none",y desc
How are bookings distributed across different status codes?,abstract,Pie,Apartment_Bookings,apartment_rentals,mark arc data apartment_bookings encoding x booking_status_code y aggregate count booking_status_code transform group x,booking_status_code,none,count booking_status_code,arc,"x=booking_status_code,y=count booking_status_code,color=none",none
How can I see the quantity of assets grouped by make in a chart?,abstract,Bar,Assets,assets_maintenance,mark bar data assets encoding x asset_make y aggregate count asset_make transform group x ,asset_make,none,count asset_make,bar,"x=asset_make,y=count asset_make,color=none",none
Show me a graph of asset statistics with different groupings.,abstract,Bar,Assets,assets_maintenance,mark bar data assets encoding x asset_make y aggregate count asset_make transform group x ,asset_make,none,count asset_make,bar,"x=asset_make,y=count asset_make,color=none",none
Can you visualize the distribution of assets based on the make?,abstract,Bar,Assets,assets_maintenance,mark bar data assets encoding x asset_make y aggregate count asset_make transform group x,asset_make,none,count asset_make,bar,"x=asset_make,y=count asset_make,color=none",none
Show me how players entering the Hall of Fame have changed over time.,abstract,Line,hall_of_fame,baseball_1,mark line data hall_of_fame encoding x yearid y aggregate count yearid transform group x,yearid,none,count yearid,line,"x=yearid,y=count yearid,color=none",none
Could you show me the results of past battles except the bulgarian commander Boril? ,abstract,Bar,battle,battle_death,mark bar data battle encoding x result y aggregate count result transform filter bulgarian_commander != 'boril' group x ,result,bulgarian_commander != 'Boril',count result,bar,"x=result,y=count result,color=none",none
I'm curious about how the Bulgarian commanders have fared historically except Boril.,abstract,Bar,battle,battle_death,mark bar data battle encoding x result y aggregate count result transform filter bulgarian_commander != 'boril' group x ,result,bulgarian_commander != 'Boril',count result,bar,"x=result,y=count result,color=none",none
Display the battle results of commanders who are not named Boril.,abstract,Bar,battle,battle_death,mark bar data battle encoding x result y aggregate count result transform filter bulgarian_commander != 'boril' group x ,result,bulgarian_commander != 'Boril',count result,bar,"x=result,y=count result,color=none",none
Results of battles where the Bulgarian commander wasn't 'Boril.',abstract,Pie,battle,battle_death,mark arc data battle encoding x result y aggregate count result transform filter bulgarian_commander != 'boril' group x,result,bulgarian_commander != 'Boril',count result,arc,"x=result,y=count result,color=none",none
I'm wondering how many teachers have the same last name.,abstract,Bar,Teachers,behavior_monitoring,mark bar data teachers encoding x last_name y aggregate count last_name transform group x ,last_name,none,count last_name,bar,"x=last_name,y=count last_name,color=none",none
"Summarize the incident type ""NOISE"" with end dates.",abstract,Bar,Behavior_Incident,behavior_monitoring,"mark bar data behavior_incident encoding x date_incident_end y aggregate count date_incident_end transform filter incident_type_code = ""noise"" group x",date_incident_end,"incident_type_code = ""NOISE""",count date_incident_end,bar,"x=date_incident_end,y=count date_incident_end,color=none",none
Passenger distribution among stations located outside of London.,abstract,Pie,station,train_station,mark arc data station encoding x name y aggregate none total_passengers transform filter location != 'london',"Name,Total_Passengers",Location != 'London',none,arc,"x=Name,y=Total_Passengers,color=none",none
Which location has the highest passenger traffic?,abstract,Bar,station,train_station,mark bar data station encoding x location y aggregate sum total_passengers transform group x sort y desc,"Location,Total_Passengers",none,sum Total_Passengers,bar,"x=Location,y=sum Total_Passengers,color=none",y desc
Display the changes in the number of stations in the station table over time.,abstract,Line,station,bike_1,mark line data station encoding x installation_date y aggregate count installation_date transform group x,installation_date,none,count installation_date,line,"x=installation_date,y=count installation_date,color=none",none
Show me a chart that demonstrates the pattern of the stations' installation dates in the station table.,abstract,Line,station,bike_1,mark line data station encoding x installation_date y aggregate count installation_date transform group x,installation_date,none,count installation_date,line,"x=installation_date,y=count installation_date,color=none",none
How do passenger numbers relate to the number of platforms at various locations? ,abstract,Grouping Scatter,station,train_station,mark point data station encoding x sum(number_of_platforms) y aggregate sum total_passengers transform group location,"Number_of_Platforms,Total_Passengers,Location",none,"sum Number_of_Platforms,sum Total_Passengers",point,"x=sum Number_of_Platforms,y=sum Total_Passengers,color=Location",none
"Can you generate a chart that highlights how passenger traffic and platform usage are related, with location as a distinguishing factor?",abstract,Grouping Scatter,station,train_station,mark point data station encoding x sum(number_of_platforms) y aggregate sum total_passengers transform group location,"Number_of_Platforms,Total_Passengers,Location",none,"sum Number_of_Platforms,sum Total_Passengers",point,"x=sum Number_of_Platforms,y=sum Total_Passengers,color=Location",none
I'm interested in seeing the distribution of services offered by stations across different local authorities.,abstract,Stacked Bar,station,station_weather,mark bar data station encoding x services y aggregate count services color local_authority transform group x,"services,local_authority",none,count services,bar,"x=services,y=count services,color=local_authority",none
What is the breakdown of services by local authorities for the stations in the network?,abstract,Stacked Bar,station,station_weather,mark bar data station encoding x services y aggregate count services color local_authority transform group x,"services,local_authority",none,count services,bar,"x=services,y=count services,color=local_authority",none
Show me a chart that compares the different services offered by each station.,abstract,Stacked Bar,station,station_weather,mark bar data station encoding x services y aggregate count services color local_authority transform group x,"services,local_authority",none,count services,bar,"x=services,y=count services,color=local_authority",none
I want to see a graph of the start stations for a significant amount of trips.,abstract,Bar,trip,bike_1,mark bar data trip encoding x start_station_name y aggregate none start_station_id transform ,"start_station_name,start_station_id",none,none,bar,"x=start_station_name,y=start_station_id,color=none",none
The start stations for a large number of trips.,abstract,Bar,trip,bike_1,mark bar data trip encoding x start_station_name y aggregate none start_station_id transform ,"start_station_name,start_station_id",none,none,bar,"x=start_station_name,y=start_station_id,color=none",none
Can you show me a graph of average weights for each gender?,abstract,Bar,people,candidate_poll,mark bar data people encoding x sex y aggregate mean weight transform group x ,"Sex,Weight",none,mean Weight,bar,"x=Sex,y=mean Weight,color=none",none
Weight averages by gender.,abstract,Bar,people,candidate_poll,mark bar data people encoding x sex y aggregate mean weight transform group x ,"Sex,Weight",none,mean Weight,bar,"x=Sex,y=mean Weight,color=none",none
"Give me a bar graph of how many individuals in the table are over 85, separated by gender.",abstract,Bar,people,candidate_poll,mark bar data people encoding x sex y aggregate count sex transform filter weight > 85 group x ,Sex,Weight gt 85,count Sex,bar,"x=Sex,y=count Sex,color=none",none
Can you make a chart of the distribution of heavier people among men and women? ,abstract,Bar,people,candidate_poll,mark bar data people encoding x sex y aggregate count sex transform filter weight > 85 group x ,Sex,Weight gt 85,count Sex,bar,"x=Sex,y=count Sex,color=none",none
How much do men and women weigh on average?,abstract,Pie,people,candidate_poll,mark arc data people encoding x sex y aggregate mean weight transform group x,"Sex,Weight",none,mean Weight,arc,"x=Sex,y=mean Weight,color=none",none
 I want to see a chart of men's and women's weight.,abstract,Pie,people,candidate_poll,mark arc data people encoding x sex y aggregate mean weight transform group x,"Sex,Weight",none,mean Weight,arc,"x=Sex,y=mean Weight,color=none",none
How do snatch scores compare to clean and jerk scores?,abstract,Scatter,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,none,point,"x=Snatch,y=Clean_Jerk,color=none",none
Can I see a visual representation of the relationship between snatch and clean and jerk,abstract,Scatter,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,none,point,"x=Snatch,y=Clean_Jerk,color=none",none
I want to see a comparison of snatch and clean and jerk scores in a graph.,abstract,Scatter,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,none,point,"x=Snatch,y=Clean_Jerk,color=none",none
show the snatch and clean_jerk scores.,abstract,Scatter,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,none,point,"x=Snatch,y=Clean_Jerk,color=none",none
Display the data on snatch and clean jerk.,abstract,Scatter,body_builder,body_builder,mark point data body_builder encoding x snatch y aggregate none clean_jerk,"Snatch,Clean_Jerk",none,none,point,"x=Snatch,y=Clean_Jerk,color=none",none
How many books different publishers have published?,abstract,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",none
Number of publications by publisher.,abstract,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",none
Can you display the publisher and number of publications relationship in a graph?,abstract,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",none
Can you show me the difference in number of publications among publishers?,abstract,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",none
How many books have different publishers put out? Show me a chart.,abstract,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",none
"The number of publications by publisher, and publisher name in ascending order.",abstract,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x sort x asc,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",x asc
"Show me a graph of publisher and publication count, sorted by publisher name.",abstract,Bar,publication,book_2,mark bar data publication encoding x publisher y aggregate count publisher transform group x sort x asc,Publisher,none,count Publisher,bar,"x=Publisher,y=count Publisher,color=none",x asc
Can you show me a chart of book publishers and their publication numbers?,abstract,Bar,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,none,count Writer,bar,"x=Writer,y=count Writer,color=none",none
What's the distribution of publications among different publishers?,abstract,Bar,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,none,count Writer,bar,"x=Writer,y=count Writer,color=none",none
Can you give me a visual representation of publisher information for books?,abstract,Bar,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,none,count Writer,bar,"x=Writer,y=count Writer,color=none",none
How are the writers of the books sorted?,abstract,Bar,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x sort x asc,Writer,none,count Writer,bar,"x=Writer,y=count Writer,color=none",x asc
Can you give me an overview of book writer data?,abstract,Bar,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,none,count Writer,bar,"x=Writer,y=count Writer,color=none",none
Can you show me the book writers in a chart?,abstract,Bar,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,none,count Writer,bar,"x=Writer,y=count Writer,color=none",none
Can you give me an idea of how many different bookwriters there are?,abstract,Bar,book,book_2,mark bar data book encoding x writer y aggregate count writer transform group x ,Writer,none,count Writer,bar,"x=Writer,y=count Writer,color=none",none
How many web accelerators are there for each operating system?,abstract,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none
Show me a graph of web accelerator usage by the operating system.,abstract,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none
Can you give me a breakdown of web accelerator usage by OS?,abstract,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none
"I'm interested in seeing the distribution of web accelerators by operating system, can you show me that?",abstract,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none
Can you provide a visual representation of web accelerator usage by the operating system?,abstract,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none
Show me a graph of the different operating systems used for the web accelerators.,abstract,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x ,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none
How many web accelerators are there for each operating system?,abstract,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x ,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none
Display a graph of the operating systems and how many web accelerators use that system.,abstract,Bar,web_client_accelerator,browser_web,mark bar data web_client_accelerator encoding x operating_system y aggregate count operating_system transform group x ,Operating_system,none,count Operating_system,bar,"x=Operating_system,y=count Operating_system,color=none",none
Show me how the candidates' consideration and opposition rates compare.,abstract,Scatter,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,none,point,"x=Consider_rate,y=Oppose_rate,color=none",none
Is there a correlation between a candidate's consideration and opposition rates?,abstract,Scatter,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,none,point,"x=Consider_rate,y=Oppose_rate,color=none",none
Visualize the relationship between candidates' consideration and opposition rates.,abstract,Scatter,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,none,point,"x=Consider_rate,y=Oppose_rate,color=none",none
Can you give me a graph of the consider and oppose rates for each candidate?,abstract,Scatter,candidate,candidate_poll,mark point data candidate encoding x consider_rate y aggregate none oppose_rate,"Consider_rate,Oppose_rate",none,none,point,"x=Consider_rate,y=Oppose_rate,color=none",none
