nl,nl type,chart,hardness,table name,database,label,column,aggregate,mark,encoding,sort,filter
What does the composition of faculty members look like based on their roles?,abstract,Pie,Easy,Faculty,activity_1,mark arc data faculty encoding x rank y aggregate count rank transform group x,Rank,count Rank,arc,"x=Rank,y=count Rank,color=none",none,none
Can you give me a chart for the assistant professors based on their gender?,abstract,Bar,Hard,Faculty,activity_1,"mark bar data faculty encoding x sex y aggregate count sex transform filter rank = ""asstprof"" group x ",Sex,count Sex,bar,"x=Sex,y=count Sex,color=none",none,"Rank = ""AsstProf"""
I need a chart that gives an overview of the gender and rank composition of the faculty.,abstract,Stacked Bar,Hard,Faculty,activity_1,mark bar data faculty encoding x rank y aggregate count rank color sex transform group x,"Rank,Sex",count Rank,bar,"x=Rank,y=count Rank,color=Sex",none,none
What's the variety of aircrafts' descriptions?,abstract,Pie,Easy,aircraft,aircraft,mark arc data aircraft encoding x description y aggregate count description transform group x,Description,count Description,arc,"x=Description,y=count Description,color=none",none,none
What are the descriptions of the aircraft and how many of each type are there?,abstract,Bar,Medium,aircraft,aircraft,mark bar data aircraft encoding x description y aggregate count description transform group x sort x asc,Description,count Description,bar,"x=Description,y=count Description,color=none",x asc,none
Show me how many female students who are not majoring in 600 and are older than 18 based on their first names,abstract,Bar,Hard,Student,restaurant_1,mark bar data student encoding x fname y aggregate count fname transform filter age > 18 and major != 600 and sex = 'f' group x ,Fname,count Fname,bar,"x=Fname,y=count Fname,color=none",none,Age gt 18 and Major != 600 and Sex = 'F'
What's the distribution of female students based on last name?,abstract,Bar,Medium,Student,allergy_1,mark bar data student encoding x lname y aggregate count lname transform filter sex = 'f' group x,LName,count LName,bar,"x=LName,y=count LName,color=none",none,Sex = 'F'
Show me the distribution of first names of female students who are older than 18 and not majoring in 600.,abstract,Pie,Medium,Student,restaurant_1,mark arc data student encoding x fname y aggregate count fname transform filter age > 18 and major != 600 and sex = 'f' group x,Fname,count Fname,arc,"x=Fname,y=count Fname,color=none",none,Age gt 18 and Major != 600 and Sex = 'F'
"Give me a picture of how many allergies are in each category, with the most popular types at the top ",abstract,Bar,Medium,Allergy_type,allergy_1,mark bar data allergy_type encoding x allergytype y aggregate count allergytype transform group x sort y desc,AllergyType,count AllergyType,bar,"x=AllergyType,y=count AllergyType,color=none",y desc,none
Chart the types of allergies and how many there are,abstract,Bar,Easy,Allergy_type,allergy_1,mark bar data allergy_type encoding x allergytype y aggregate count allergytype transform group x,AllergyType,count AllergyType,bar,"x=AllergyType,y=count AllergyType,color=none",none,none
Give me an idea of how different types of allergies are distributed.,abstract,Pie,Easy,Allergy_type,allergy_1,mark arc data allergy_type encoding x allergytype y aggregate count allergytype transform group x,AllergyType,count AllergyType,arc,"x=AllergyType,y=count AllergyType,color=none",none,none
